"date","interject","n_interject"
2011-05-10,0,206
2011-05-10,1,32
2011-05-11,0,349
2011-05-11,1,35
2011-05-12,0,320
2011-05-12,1,84
2011-05-23,0,384
2011-05-23,1,52
2011-05-24,0,262
2011-05-24,1,61
2011-05-25,0,374
2011-05-25,1,99
2011-05-26,0,324
2011-05-26,1,88
2011-05-30,0,373
2011-05-30,1,54
2011-05-31,0,276
2011-05-31,1,70
2011-06-01,0,319
2011-06-01,1,81
2011-06-02,0,283
2011-06-02,1,77
2011-06-14,0,452
2011-06-14,1,124
2011-06-15,0,456
2011-06-15,1,152
2011-06-16,0,210
2011-06-16,1,34
2011-06-20,0,232
2011-06-20,1,40
2011-06-21,0,346
2011-06-21,1,103
2011-06-22,0,370
2011-06-22,1,67
2011-06-23,0,291
2011-06-23,1,59
2011-07-04,0,394
2011-07-04,1,72
2011-07-05,0,229
2011-07-05,1,58
2011-07-06,0,374
2011-07-06,1,74
2011-07-07,0,294
2011-07-07,1,73
2011-08-16,0,273
2011-08-16,1,53
2011-08-17,0,361
2011-08-17,1,88
2011-08-18,0,275
2011-08-18,1,50
2011-08-22,0,398
2011-08-22,1,71
2011-08-23,0,217
2011-08-23,1,58
2011-08-24,0,288
2011-08-24,1,46
2011-08-25,0,338
2011-08-25,1,100
2011-09-12,0,370
2011-09-12,1,68
2011-09-13,0,320
2011-09-13,1,94
2011-09-14,0,287
2011-09-14,1,86
2011-09-15,0,335
2011-09-15,1,120
2011-09-19,0,479
2011-09-19,1,124
2011-09-20,0,346
2011-09-20,1,147
2011-09-21,0,378
2011-09-21,1,118
2011-09-22,0,257
2011-09-22,1,56
2011-10-11,0,349
2011-10-11,1,88
2011-10-12,0,345
2011-10-12,1,78
2011-10-13,0,261
2011-10-13,1,51
2011-10-31,0,422
2011-10-31,1,91
2011-11-01,0,194
2011-11-01,1,47
2011-11-02,0,373
2011-11-02,1,70
2011-11-03,0,285
2011-11-03,1,61
2011-11-17,0,10
2011-11-21,0,425
2011-11-21,1,55
2011-11-22,0,370
2011-11-22,1,72
2011-11-23,0,309
2011-11-23,1,58
2011-11-24,0,283
2011-11-24,1,124
2012-02-07,0,258
2012-02-07,1,26
2012-02-08,0,375
2012-02-08,1,39
2012-02-09,0,379
2012-02-09,1,60
2012-02-13,0,425
2012-02-13,1,57
2012-02-14,0,312
2012-02-14,1,107
2012-02-15,0,341
2012-02-15,1,85
2012-02-16,0,347
2012-02-16,1,66
2012-02-27,0,340
2012-02-27,1,67
2012-02-28,0,311
2012-02-28,1,88
2012-02-29,0,307
2012-02-29,1,76
2012-03-01,0,318
2012-03-01,1,44
2012-03-13,0,283
2012-03-13,1,33
2012-03-14,0,354
2012-03-14,1,93
2012-03-15,0,346
2012-03-15,1,76
2012-03-19,0,475
2012-03-19,1,81
2012-03-20,0,328
2012-03-20,1,75
2012-03-21,0,407
2012-03-21,1,84
2012-03-22,0,380
2012-03-22,1,73
2012-05-08,0,220
2012-05-08,1,39
2012-05-09,0,361
2012-05-09,1,66
2012-05-10,0,275
2012-05-10,1,45
2012-05-21,0,430
2012-05-21,1,104
2012-05-22,0,255
2012-05-22,1,69
2012-05-23,0,340
2012-05-23,1,90
2012-05-24,0,268
2012-05-24,1,45
2012-05-28,0,367
2012-05-28,1,56
2012-05-29,0,304
2012-05-29,1,79
2012-05-30,0,488
2012-05-30,1,140
2012-05-31,0,395
2012-05-31,1,89
2012-06-18,0,466
2012-06-18,1,86
2012-06-19,0,378
2012-06-19,1,94
2012-06-20,0,471
2012-06-20,1,112
2012-06-21,0,295
2012-06-21,1,67
2012-06-25,0,446
2012-06-25,1,79
2012-06-26,0,327
2012-06-26,1,102
2012-06-27,0,214
2012-06-27,1,47
2012-06-28,0,337
2012-06-28,1,76
2012-08-14,0,255
2012-08-14,1,30
2012-08-15,0,319
2012-08-15,1,56
2012-08-16,0,306
2012-08-16,1,83
2012-08-20,0,429
2012-08-20,1,84
2012-08-21,0,314
2012-08-21,1,88
2012-08-22,0,389
2012-08-22,1,121
2012-08-23,0,281
2012-08-23,1,55
2012-09-10,0,344
2012-09-10,1,49
2012-09-11,0,230
2012-09-11,1,61
2012-09-12,0,273
2012-09-12,1,102
2012-09-13,0,272
2012-09-13,1,75
2012-09-17,0,392
2012-09-17,1,77
2012-09-18,0,292
2012-09-18,1,87
2012-09-19,0,349
2012-09-19,1,96
2012-09-20,0,341
2012-09-20,1,133
2012-10-09,0,275
2012-10-09,1,56
2012-10-10,0,355
2012-10-10,1,86
2012-10-11,0,281
2012-10-11,1,51
2012-10-29,0,432
2012-10-29,1,46
2012-10-30,0,331
2012-10-30,1,62
2012-10-31,0,306
2012-10-31,1,92
2012-11-01,0,289
2012-11-01,1,77
2012-11-26,0,431
2012-11-26,1,72
2012-11-27,0,343
2012-11-27,1,87
2012-11-28,0,364
2012-11-28,1,95
2012-11-29,0,370
2012-11-29,1,84
2013-02-05,0,263
2013-02-05,1,62
2013-02-06,0,289
2013-02-06,1,48
2013-02-07,0,280
2013-02-07,1,57
2013-02-11,0,369
2013-02-11,1,59
2013-02-12,0,246
2013-02-12,1,71
2013-02-13,0,281
2013-02-13,1,47
2013-02-14,0,325
2013-02-14,1,59
2013-03-12,0,271
2013-03-12,1,52
2013-03-13,0,358
2013-03-13,1,62
2013-03-14,0,306
2013-03-14,1,82
2013-03-18,0,350
2013-03-18,1,61
2013-03-19,0,274
2013-03-19,1,77
2013-03-20,0,272
2013-03-20,1,65
2013-03-21,0,219
2013-03-21,1,38
2013-05-14,0,283
2013-05-14,1,30
2013-05-15,0,454
2013-05-15,1,57
2013-05-16,0,351
2013-05-16,1,55
2013-05-27,0,463
2013-05-27,1,73
2013-05-28,0,360
2013-05-28,1,131
2013-05-29,0,424
2013-05-29,1,107
2013-05-30,0,294
2013-05-30,1,62
2013-06-03,0,451
2013-06-03,1,85
2013-06-04,0,521
2013-06-04,1,175
2013-06-05,0,558
2013-06-05,1,177
2013-06-06,0,390
2013-06-06,1,100
2013-06-17,0,414
2013-06-17,1,58
2013-06-18,0,271
2013-06-18,1,78
2013-06-19,0,393
2013-06-19,1,123
2013-06-20,0,269
2013-06-20,1,46
2013-06-24,0,393
2013-06-24,1,57
2013-06-25,0,274
2013-06-25,1,75
2013-06-26,0,288
2013-06-26,1,66
2013-06-27,0,269
2013-06-27,1,67
2013-11-12,0,72
2013-11-12,1,11
2013-11-13,0,324
2013-11-13,1,109
2013-11-14,0,173
2013-11-14,1,37
2013-11-18,0,303
2013-11-18,1,65
2013-11-19,0,164
2013-11-19,1,58
2013-11-20,0,333
2013-11-20,1,127
2013-11-21,0,382
2013-11-21,1,114
2013-12-02,0,326
2013-12-02,1,97
2013-12-09,0,415
2013-12-09,1,116
2013-12-10,0,334
2013-12-10,1,109
2013-12-11,0,406
2013-12-11,1,155
2013-12-12,0,386
2013-12-12,1,97
2014-02-11,0,233
2014-02-11,1,33
2014-02-12,0,248
2014-02-12,1,44
2014-02-13,0,295
2014-02-13,1,94
2014-02-24,0,287
2014-02-24,1,64
2014-02-25,0,228
2014-02-25,1,58
2014-02-26,0,342
2014-02-26,1,116
2014-02-27,0,330
2014-02-27,1,123
2014-03-03,0,342
2014-03-03,1,87
2014-03-04,0,283
2014-03-04,1,99
2014-03-05,0,297
2014-03-05,1,62
2014-03-06,0,353
2014-03-06,1,115
2014-03-17,0,346
2014-03-17,1,71
2014-03-18,0,336
2014-03-18,1,124
2014-03-19,0,420
2014-03-19,1,119
2014-03-20,0,342
2014-03-20,1,128
2014-03-24,0,411
2014-03-24,1,128
2014-03-25,0,266
2014-03-25,1,87
2014-03-26,0,439
2014-03-26,1,184
2014-03-27,0,322
2014-03-27,1,83
2014-05-13,0,277
2014-05-13,1,43
2014-05-14,0,292
2014-05-14,1,65
2014-05-15,0,256
2014-05-15,1,52
2014-05-26,0,476
2014-05-26,1,133
2014-05-27,0,315
2014-05-27,1,122
2014-05-28,0,411
2014-05-28,1,163
2014-05-29,0,323
2014-05-29,1,120
2014-06-02,0,343
2014-06-02,1,68
2014-06-03,0,268
2014-06-03,1,71
2014-06-04,0,331
2014-06-04,1,98
2014-06-05,0,396
2014-06-05,1,131
2014-06-16,0,489
2014-06-16,1,126
2014-06-17,0,468
2014-06-17,1,176
2014-06-18,0,440
2014-06-18,1,141
2014-06-19,0,387
2014-06-19,1,136
2014-06-23,0,504
2014-06-23,1,120
2014-06-24,0,311
2014-06-24,1,110
2014-06-25,0,347
2014-06-25,1,172
2014-06-26,0,339
2014-06-26,1,135
2014-07-08,0,10
2014-07-08,1,2
2014-07-14,0,447
2014-07-14,1,92
2014-07-15,0,269
2014-07-15,1,107
2014-07-16,0,325
2014-07-16,1,87
2014-07-17,0,409
2014-07-17,1,128
2014-08-26,0,293
2014-08-26,1,65
2014-08-27,0,335
2014-08-27,1,88
2014-08-28,0,280
2014-08-28,1,80
2014-09-01,0,419
2014-09-01,1,89
2014-09-02,0,251
2014-09-02,1,94
2014-09-03,0,288
2014-09-03,1,85
2014-09-04,0,346
2014-09-04,1,125
2014-09-22,0,389
2014-09-22,1,59
2014-09-23,0,259
2014-09-23,1,78
2014-09-24,0,335
2014-09-24,1,87
2014-09-25,0,296
2014-09-25,1,62
2014-09-30,0,291
2014-09-30,1,84
2014-10-01,0,320
2014-10-01,1,105
2014-10-02,0,313
2014-10-02,1,83
2014-10-20,0,414
2014-10-20,1,77
2014-10-21,0,26
2014-10-22,0,349
2014-10-22,1,92
2014-10-23,0,261
2014-10-23,1,77
2014-10-27,0,400
2014-10-27,1,71
2014-10-28,0,392
2014-10-28,1,109
2014-10-29,0,334
2014-10-29,1,130
2014-10-30,0,276
2014-10-30,1,71
2014-11-14,0,9
2014-11-14,1,1
2014-11-17,0,11
2014-11-18,0,10
2014-11-18,1,4
2014-11-24,0,498
2014-11-24,1,78
2014-11-25,0,377
2014-11-25,1,125
2014-11-26,0,439
2014-11-26,1,103
2014-11-27,0,372
2014-11-27,1,118
2014-12-01,0,391
2014-12-01,1,82
2014-12-02,0,317
2014-12-02,1,121
2014-12-03,0,354
2014-12-03,1,81
2014-12-04,0,373
2014-12-04,1,121
2015-02-09,0,514
2015-02-09,1,44
2015-02-10,0,297
2015-02-10,1,72
2015-02-11,0,268
2015-02-11,1,62
2015-02-12,0,289
2015-02-12,1,68
2015-02-23,0,328
2015-02-23,1,27
2015-02-24,0,264
2015-02-24,1,93
2015-02-25,0,248
2015-02-25,1,66
2015-02-26,0,300
2015-02-26,1,75
2015-03-02,0,344
2015-03-02,1,60
2015-03-03,0,222
2015-03-03,1,78
2015-03-04,0,234
2015-03-04,1,39
2015-03-05,0,284
2015-03-05,1,73
2015-03-16,0,350
2015-03-16,1,67
2015-03-17,0,247
2015-03-17,1,83
2015-03-18,0,298
2015-03-18,1,66
2015-03-19,0,289
2015-03-19,1,60
2015-03-23,0,105
2015-03-23,1,3
2015-03-24,0,394
2015-03-24,1,81
2015-03-25,0,279
2015-03-25,1,72
2015-03-26,0,286
2015-03-26,1,82
2015-05-12,0,264
2015-05-12,1,32
2015-05-13,0,330
2015-05-13,1,81
2015-05-14,0,349
2015-05-14,1,108
2015-05-25,0,324
2015-05-25,1,70
2015-05-26,0,260
2015-05-26,1,75
2015-05-27,0,280
2015-05-27,1,77
2015-05-28,0,239
2015-05-28,1,48
2015-06-01,0,407
2015-06-01,1,109
2015-06-02,0,291
2015-06-02,1,87
2015-06-03,0,310
2015-06-03,1,118
2015-06-04,0,345
2015-06-04,1,91
2015-06-15,0,487
2015-06-15,1,108
2015-06-16,0,367
2015-06-16,1,112
2015-06-17,0,443
2015-06-17,1,180
2015-06-18,0,415
2015-06-18,1,181
2015-06-22,0,462
2015-06-22,1,80
2015-06-23,0,264
2015-06-23,1,88
2015-06-24,0,270
2015-06-24,1,54
2015-06-25,0,347
2015-06-25,1,77
2015-08-10,0,153
2015-08-10,1,13
2015-08-11,0,242
2015-08-11,1,86
2015-08-12,0,327
2015-08-12,1,95
2015-08-13,0,330
2015-08-13,1,110
2015-08-17,0,385
2015-08-17,1,84
2015-08-18,0,291
2015-08-18,1,93
2015-08-19,0,407
2015-08-19,1,139
2015-08-20,0,287
2015-08-20,1,75
2015-09-07,0,356
2015-09-07,1,41
2015-09-08,0,294
2015-09-08,1,128
2015-09-09,0,312
2015-09-09,1,125
2015-09-10,0,312
2015-09-10,1,125
2015-09-14,0,423
2015-09-14,1,114
2015-09-15,0,312
2015-09-15,1,115
2015-09-16,0,354
2015-09-16,1,130
2015-09-17,0,343
2015-09-17,1,123
2015-10-12,0,414
2015-10-12,1,64
2015-10-13,0,279
2015-10-13,1,85
2015-10-14,0,351
2015-10-14,1,74
2015-10-15,0,283
2015-10-15,1,86
2015-10-19,0,412
2015-10-19,1,97
2015-10-20,0,263
2015-10-20,1,64
2015-10-21,0,287
2015-10-21,1,87
2015-10-22,0,314
2015-10-22,1,90
2015-11-09,0,512
2015-11-09,1,67
2015-11-10,0,338
2015-11-10,1,81
2015-11-11,0,348
2015-11-11,1,112
2015-11-12,0,310
2015-11-12,1,100
2015-11-23,0,424
2015-11-23,1,47
2015-11-24,0,309
2015-11-24,1,55
2015-11-25,0,301
2015-11-25,1,84
2015-11-26,0,255
2015-11-26,1,52
2015-11-30,0,364
2015-11-30,1,53
2015-12-01,0,279
2015-12-01,1,87
2015-12-02,0,331
2015-12-02,1,57
2015-12-03,0,400
2015-12-03,1,91
2016-02-02,0,483
2016-02-02,1,62
2016-02-03,0,520
2016-02-03,1,93
2016-02-04,0,416
2016-02-04,1,83
2016-02-08,0,356
2016-02-08,1,72
2016-02-09,0,251
2016-02-09,1,62
2016-02-10,0,314
2016-02-10,1,60
2016-02-11,0,256
2016-02-11,1,67
2016-02-22,0,529
2016-02-22,1,65
2016-02-23,0,273
2016-02-23,1,101
2016-02-24,0,332
2016-02-24,1,136
2016-02-25,0,294
2016-02-25,1,80
2016-02-29,0,316
2016-02-29,1,70
2016-03-01,0,211
2016-03-01,1,81
2016-03-02,0,286
2016-03-02,1,94
2016-03-03,0,319
2016-03-03,1,86
2016-03-15,0,260
2016-03-15,1,51
2016-03-16,0,294
2016-03-16,1,85
2016-03-17,0,330
2016-03-17,1,108
2016-04-18,0,275
2016-04-18,1,80
2016-04-19,0,211
2016-04-19,1,69
2016-05-02,0,445
2016-05-02,1,113
2016-05-03,0,194
2016-05-03,1,66
2016-05-04,0,277
2016-05-04,1,90
2016-05-05,0,305
2016-05-05,1,132
2016-08-30,0,63
2016-08-30,1,10
2016-08-31,0,294
