"fedchamb_flag","n_name.id","n_electorate","n_party","n_names","date"
0,38,38,5,44,2011-05-10
0,81,81,7,85,2011-05-11
1,43,43,4,47,2011-05-11
0,63,63,6,68,2011-05-12
1,32,32,3,34,2011-05-12
0,93,93,6,97,2011-05-23
1,55,55,4,60,2011-05-23
0,51,51,5,57,2011-05-24
1,40,40,3,42,2011-05-24
0,85,85,5,91,2011-05-25
1,37,37,4,41,2011-05-25
0,69,69,5,75,2011-05-26
1,25,25,4,26,2011-05-26
0,79,79,6,84,2011-05-30
1,56,56,4,60,2011-05-30
0,63,63,5,70,2011-05-31
1,32,32,4,39,2011-05-31
0,72,72,5,76,2011-06-01
1,37,37,6,39,2011-06-01
0,70,70,6,76,2011-06-02
1,20,20,4,23,2011-06-02
0,68,68,6,75,2011-06-14
1,37,37,3,43,2011-06-14
0,77,77,5,83,2011-06-15
1,47,47,3,52,2011-06-15
0,52,52,6,58,2011-06-16
1,28,28,5,31,2011-06-16
0,48,48,7,55,2011-06-20
1,46,46,3,50,2011-06-20
0,59,59,5,67,2011-06-21
1,27,27,3,30,2011-06-21
0,73,73,6,83,2011-06-22
1,39,39,4,45,2011-06-22
0,61,61,4,67,2011-06-23
1,30,30,3,32,2011-06-23
0,87,87,6,98,2011-07-04
1,51,51,4,55,2011-07-04
0,64,64,5,73,2011-07-05
0,83,83,5,91,2011-07-06
1,35,35,4,36,2011-07-06
0,57,57,5,62,2011-07-07
1,25,25,4,29,2011-07-07
0,62,62,5,69,2011-08-16
0,74,74,6,83,2011-08-17
1,40,40,5,46,2011-08-17
0,73,73,6,77,2011-08-18
1,31,31,3,33,2011-08-18
0,88,88,5,96,2011-08-22
1,52,52,5,58,2011-08-22
0,62,62,5,67,2011-08-23
0,66,66,5,72,2011-08-24
1,55,55,6,57,2011-08-24
0,62,62,5,70,2011-08-25
1,34,34,4,36,2011-08-25
0,76,76,6,85,2011-09-12
1,53,53,5,57,2011-09-12
0,63,63,5,70,2011-09-13
0,76,76,5,80,2011-09-14
1,42,42,5,44,2011-09-14
0,70,70,6,80,2011-09-15
1,27,27,4,29,2011-09-15
0,81,81,6,87,2011-09-19
1,51,51,4,54,2011-09-19
0,77,77,5,86,2011-09-20
0,74,74,6,81,2011-09-21
1,32,32,5,33,2011-09-21
0,67,67,6,69,2011-09-22
1,29,29,3,31,2011-09-22
0,76,76,5,87,2011-10-11
0,77,77,6,84,2011-10-12
1,39,39,4,42,2011-10-12
0,59,59,6,65,2011-10-13
1,29,29,3,31,2011-10-13
0,81,81,7,86,2011-10-31
1,47,47,7,50,2011-10-31
0,55,55,6,61,2011-11-01
0,72,72,6,77,2011-11-02
1,40,40,6,42,2011-11-02
0,57,57,7,62,2011-11-03
1,39,39,3,40,2011-11-03
0,3,2,2,4,2011-11-17
0,87,87,6,91,2011-11-21
1,48,48,4,53,2011-11-21
0,88,88,8,92,2011-11-22
1,40,40,5,42,2011-11-22
0,72,72,8,79,2011-11-23
1,23,23,5,24,2011-11-23
0,47,47,6,63,2011-11-24
1,16,16,3,19,2011-11-24
0,62,62,5,70,2012-02-07
0,75,75,7,78,2012-02-08
1,42,42,5,46,2012-02-08
0,70,70,6,73,2012-02-09
1,31,32,4,34,2012-02-09
0,83,84,8,89,2012-02-13
1,55,55,6,57,2012-02-13
0,70,70,7,75,2012-02-14
1,30,31,4,33,2012-02-14
0,70,70,5,75,2012-02-15
1,31,31,5,35,2012-02-15
0,73,73,8,76,2012-02-16
1,21,21,3,23,2012-02-16
0,74,74,7,84,2012-02-27
1,41,41,5,42,2012-02-27
0,65,64,5,66,2012-02-28
1,38,38,5,41,2012-02-28
0,68,68,8,75,2012-02-29
1,24,25,5,26,2012-02-29
0,63,64,4,69,2012-03-01
1,29,29,3,31,2012-03-01
0,64,64,5,74,2012-03-13
1,20,20,3,21,2012-03-13
0,73,73,6,79,2012-03-14
1,38,38,6,40,2012-03-14
0,62,63,6,70,2012-03-15
1,26,26,4,27,2012-03-15
0,81,81,5,85,2012-03-19
1,59,60,6,61,2012-03-19
0,61,61,5,69,2012-03-20
1,47,47,4,49,2012-03-20
0,86,86,6,89,2012-03-21
1,38,38,5,43,2012-03-21
0,56,55,5,59,2012-03-22
1,28,28,4,28,2012-03-22
0,46,47,5,55,2012-05-08
0,73,74,8,79,2012-05-09
1,41,41,4,43,2012-05-09
0,65,66,5,70,2012-05-10
1,27,28,4,29,2012-05-10
0,73,72,4,78,2012-05-21
1,52,52,5,56,2012-05-21
0,64,64,6,69,2012-05-22
1,37,37,3,40,2012-05-22
0,75,76,6,82,2012-05-23
1,35,35,4,38,2012-05-23
0,68,69,4,76,2012-05-24
1,26,26,4,28,2012-05-24
0,88,88,6,95,2012-05-28
1,54,54,4,56,2012-05-28
0,69,69,6,76,2012-05-29
1,41,42,5,43,2012-05-29
0,78,80,6,86,2012-05-30
1,46,46,4,49,2012-05-30
0,53,54,6,62,2012-05-31
1,29,29,3,31,2012-05-31
0,84,85,6,90,2012-06-18
1,61,61,6,64,2012-06-18
0,62,63,6,68,2012-06-19
1,44,44,3,46,2012-06-19
0,77,76,6,81,2012-06-20
1,39,40,5,43,2012-06-20
0,64,64,4,71,2012-06-21
1,30,30,3,31,2012-06-21
0,82,82,6,93,2012-06-25
1,58,58,5,61,2012-06-25
0,70,70,5,79,2012-06-26
1,19,20,3,22,2012-06-26
0,76,77,7,82,2012-06-27
1,13,13,3,14,2012-06-27
0,69,70,6,79,2012-06-28
1,29,29,5,32,2012-06-28
0,67,68,5,75,2012-08-14
0,85,86,7,91,2012-08-15
1,30,30,5,31,2012-08-15
0,60,62,6,70,2012-08-16
1,28,28,4,31,2012-08-16
0,87,87,5,93,2012-08-20
1,56,55,5,56,2012-08-20
0,62,62,5,68,2012-08-21
1,21,21,3,22,2012-08-21
0,75,76,7,78,2012-08-22
1,24,24,3,26,2012-08-22
0,63,63,6,67,2012-08-23
1,31,33,3,34,2012-08-23
0,80,80,6,86,2012-09-10
1,50,50,5,51,2012-09-10
0,61,62,4,68,2012-09-11
0,68,69,4,76,2012-09-12
1,25,25,5,26,2012-09-12
0,62,62,5,65,2012-09-13
1,29,29,3,30,2012-09-13
0,80,81,5,86,2012-09-17
1,53,53,6,55,2012-09-17
0,64,66,6,72,2012-09-18
1,19,20,3,21,2012-09-18
0,69,69,7,75,2012-09-19
1,26,26,5,27,2012-09-19
0,70,69,6,78,2012-09-20
1,31,31,3,32,2012-09-20
0,58,58,5,67,2012-10-09
1,21,21,3,22,2012-10-09
0,86,87,7,90,2012-10-10
1,28,28,5,30,2012-10-10
0,64,65,6,71,2012-10-11
1,21,21,4,22,2012-10-11
0,77,77,8,81,2012-10-29
1,59,59,6,61,2012-10-29
0,61,61,6,65,2012-10-30
1,32,32,4,34,2012-10-30
0,71,70,8,75,2012-10-31
1,13,13,4,14,2012-10-31
0,64,64,6,73,2012-11-01
1,26,26,4,28,2012-11-01
0,82,83,6,87,2012-11-26
1,55,56,5,58,2012-11-26
0,70,70,5,75,2012-11-27
1,23,23,3,24,2012-11-27
0,76,76,6,82,2012-11-28
1,26,26,5,27,2012-11-28
0,55,54,6,58,2012-11-29
1,34,34,3,34,2012-11-29
0,68,68,6,72,2013-02-05
0,78,78,6,81,2013-02-06
1,30,30,4,31,2013-02-06
0,65,65,5,70,2013-02-07
1,26,26,5,28,2013-02-07
0,92,91,7,93,2013-02-11
1,52,52,6,53,2013-02-11
0,69,68,4,73,2013-02-12
1,33,33,3,35,2013-02-12
0,80,80,6,85,2013-02-13
1,39,39,5,40,2013-02-13
0,70,70,5,76,2013-02-14
1,27,27,4,27,2013-02-14
0,67,67,7,74,2013-03-12
1,25,25,4,25,2013-03-12
0,75,75,6,78,2013-03-13
1,32,32,4,34,2013-03-13
0,62,63,5,66,2013-03-14
1,23,23,4,24,2013-03-14
0,74,74,5,78,2013-03-18
1,49,48,5,49,2013-03-18
0,63,63,5,68,2013-03-19
1,15,15,4,18,2013-03-19
0,74,74,6,80,2013-03-20
1,16,16,4,17,2013-03-20
0,50,50,6,57,2013-03-21
1,27,27,4,28,2013-03-21
0,55,55,5,59,2013-05-14
0,69,70,7,76,2013-05-15
1,40,39,4,40,2013-05-15
0,67,67,5,71,2013-05-16
1,24,24,5,26,2013-05-16
0,85,86,7,90,2013-05-27
1,55,54,5,57,2013-05-27
0,78,78,7,84,2013-05-28
1,32,32,5,32,2013-05-28
0,76,74,6,80,2013-05-29
1,39,40,6,44,2013-05-29
0,66,66,5,70,2013-05-30
1,36,36,5,38,2013-05-30
0,85,84,6,88,2013-06-03
1,61,60,5,61,2013-06-03
0,68,68,5,71,2013-06-04
1,46,48,3,50,2013-06-04
0,77,76,6,80,2013-06-05
1,47,48,4,49,2013-06-05
0,63,64,6,67,2013-06-06
1,42,43,4,44,2013-06-06
0,84,85,6,86,2013-06-17
1,56,56,7,58,2013-06-17
0,63,63,5,69,2013-06-18
1,16,16,3,18,2013-06-18
0,75,75,6,78,2013-06-19
1,24,24,5,24,2013-06-19
0,69,70,5,72,2013-06-20
1,20,20,4,20,2013-06-20
0,73,73,7,78,2013-06-24
1,57,56,5,58,2013-06-24
0,69,69,7,77,2013-06-25
1,18,18,3,19,2013-06-25
0,51,51,6,53,2013-06-26
1,30,30,5,30,2013-06-26
0,46,46,5,58,2013-06-27
0,16,16,5,17,2013-11-12
0,55,55,6,58,2013-11-13
0,51,51,5,55,2013-11-14
0,72,72,5,76,2013-11-18
1,33,33,3,35,2013-11-18
0,58,58,5,60,2013-11-19
0,77,76,7,78,2013-11-20
1,21,21,3,21,2013-11-20
0,72,74,7,79,2013-11-21
1,27,27,4,28,2013-11-21
0,76,76,7,81,2013-12-02
1,40,41,3,41,2013-12-02
0,77,79,6,84,2013-12-09
1,50,51,5,52,2013-12-09
0,63,65,4,69,2013-12-10
0,72,74,6,82,2013-12-11
1,23,23,3,23,2013-12-11
0,58,59,4,66,2013-12-12
1,27,28,4,30,2013-12-12
0,62,61,4,63,2014-02-11
0,59,60,6,62,2014-02-12
1,24,24,4,25,2014-02-12
0,76,78,5,81,2014-02-13
1,29,30,5,30,2014-02-13
0,81,81,6,85,2014-02-24
1,51,51,3,54,2014-02-24
0,79,81,5,86,2014-02-25
0,80,82,6,86,2014-02-26
1,24,24,4,25,2014-02-26
0,73,73,6,76,2014-02-27
1,37,37,4,38,2014-02-27
0,80,79,5,81,2014-03-03
1,52,52,3,55,2014-03-03
0,77,79,4,86,2014-03-04
0,76,77,5,82,2014-03-05
1,20,20,5,21,2014-03-05
0,64,65,5,73,2014-03-06
1,25,24,4,24,2014-03-06
0,81,81,6,84,2014-03-17
1,53,53,5,53,2014-03-17
0,84,84,7,95,2014-03-18
0,84,85,5,88,2014-03-19
1,23,23,4,23,2014-03-19
0,66,67,5,77,2014-03-20
1,28,28,4,29,2014-03-20
0,87,88,6,89,2014-03-24
1,58,59,4,59,2014-03-24
0,81,82,5,89,2014-03-25
0,81,84,5,88,2014-03-26
1,23,23,4,23,2014-03-26
0,67,68,5,71,2014-03-27
1,39,40,3,40,2014-03-27
0,75,76,5,80,2014-05-13
0,84,86,5,89,2014-05-14
1,25,25,3,25,2014-05-14
0,75,75,6,79,2014-05-15
1,34,34,4,34,2014-05-15
0,90,90,6,94,2014-05-26
1,57,58,5,59,2014-05-26
0,76,77,7,82,2014-05-27
1,26,26,4,26,2014-05-27
0,89,90,5,94,2014-05-28
1,32,32,6,32,2014-05-28
0,81,81,6,85,2014-05-29
1,25,25,3,26,2014-05-29
0,100,100,6,105,2014-06-02
1,60,59,4,61,2014-06-02
0,77,77,6,83,2014-06-03
1,27,27,5,28,2014-06-03
0,79,79,6,88,2014-06-04
1,26,26,5,26,2014-06-04
0,73,74,7,86,2014-06-05
1,37,38,5,39,2014-06-05
0,91,92,6,94,2014-06-16
1,63,63,5,65,2014-06-16
0,80,82,5,86,2014-06-17
1,41,41,4,42,2014-06-17
0,83,85,5,88,2014-06-18
1,47,48,4,52,2014-06-18
0,63,64,7,70,2014-06-19
1,33,34,5,35,2014-06-19
0,93,93,6,99,2014-06-23
1,55,55,5,56,2014-06-23
0,69,68,6,75,2014-06-24
0,78,78,7,80,2014-06-25
1,20,20,4,21,2014-06-25
0,75,77,5,82,2014-06-26
1,26,27,3,27,2014-06-26
0,3,3,2,4,2014-07-08
0,93,93,6,101,2014-07-14
1,59,59,4,59,2014-07-14
0,72,72,7,79,2014-07-15
0,86,88,8,93,2014-07-16
1,28,28,4,28,2014-07-16
0,83,85,6,89,2014-07-17
1,27,27,3,27,2014-07-17
0,88,88,7,93,2014-08-26
0,81,82,5,85,2014-08-27
1,37,38,5,38,2014-08-27
0,71,73,7,83,2014-08-28
1,26,26,3,26,2014-08-28
0,80,80,7,86,2014-09-01
1,62,63,5,64,2014-09-01
0,67,67,5,77,2014-09-02
0,85,85,6,91,2014-09-03
1,29,29,5,30,2014-09-03
0,76,77,5,83,2014-09-04
1,30,30,4,31,2014-09-04
0,89,89,6,94,2014-09-22
1,56,55,5,56,2014-09-22
0,74,74,7,81,2014-09-23
0,81,83,6,89,2014-09-24
1,18,17,4,19,2014-09-24
0,73,73,7,79,2014-09-25
1,27,27,4,28,2014-09-25
0,85,87,6,94,2014-09-30
0,78,79,7,84,2014-10-01
1,26,26,3,27,2014-10-01
0,77,79,4,86,2014-10-02
1,27,27,4,28,2014-10-02
0,89,89,6,91,2014-10-20
1,57,59,5,60,2014-10-20
0,18,18,5,18,2014-10-21
0,81,82,7,85,2014-10-22
1,20,20,4,21,2014-10-22
0,81,82,4,85,2014-10-23
1,27,27,4,28,2014-10-23
0,89,92,6,98,2014-10-27
1,57,58,5,59,2014-10-27
0,92,92,6,96,2014-10-28
0,92,94,6,101,2014-10-29
1,20,20,5,20,2014-10-29
0,79,79,5,83,2014-10-30
1,28,28,4,28,2014-10-30
0,3,3,2,4,2014-11-14
0,3,3,2,4,2014-11-17
0,3,3,2,4,2014-11-18
0,86,88,6,94,2014-11-24
1,54,55,5,55,2014-11-24
0,87,89,4,99,2014-11-25
0,84,84,7,93,2014-11-26
1,23,23,3,23,2014-11-26
0,72,73,5,78,2014-11-27
1,29,30,3,33,2014-11-27
0,90,89,6,95,2014-12-01
1,59,59,5,60,2014-12-01
0,77,78,5,86,2014-12-02
0,88,89,5,98,2014-12-03
1,35,35,5,35,2014-12-03
0,74,74,5,77,2014-12-04
1,32,32,4,35,2014-12-04
0,82,82,6,89,2015-02-09
1,52,52,4,54,2015-02-09
0,84,85,5,95,2015-02-10
0,80,83,7,87,2015-02-11
1,23,23,4,24,2015-02-11
0,69,69,5,74,2015-02-12
1,32,33,3,35,2015-02-12
0,93,94,6,99,2015-02-23
1,50,50,5,51,2015-02-23
0,81,81,7,84,2015-02-24
0,77,78,6,86,2015-02-25
1,14,14,4,14,2015-02-25
0,78,79,6,80,2015-02-26
1,34,35,5,35,2015-02-26
0,87,88,6,92,2015-03-02
1,53,52,6,53,2015-03-02
0,69,69,6,76,2015-03-03
0,79,79,5,82,2015-03-04
1,20,21,4,21,2015-03-04
0,77,78,6,85,2015-03-05
1,37,37,5,37,2015-03-05
0,88,89,5,92,2015-03-16
1,51,51,3,52,2015-03-16
0,76,76,5,82,2015-03-17
0,84,85,7,88,2015-03-18
1,33,33,4,33,2015-03-18
0,54,56,5,62,2015-03-19
1,36,36,5,36,2015-03-19
0,24,24,4,24,2015-03-23
0,82,84,7,86,2015-03-24
1,36,36,3,37,2015-03-24
0,85,88,8,91,2015-03-25
1,31,31,4,31,2015-03-25
0,66,68,4,75,2015-03-26
1,31,31,3,31,2015-03-26
0,68,68,6,74,2015-05-12
0,79,79,5,85,2015-05-13
1,27,27,4,29,2015-05-13
0,81,81,4,87,2015-05-14
1,39,39,3,40,2015-05-14
0,89,89,5,90,2015-05-25
1,55,55,5,55,2015-05-25
0,75,75,5,79,2015-05-26
1,29,30,4,30,2015-05-26
0,82,82,7,84,2015-05-27
1,36,36,4,37,2015-05-27
0,76,77,6,80,2015-05-28
1,26,26,6,26,2015-05-28
0,85,85,6,87,2015-06-01
1,62,64,5,65,2015-06-01
0,78,79,6,82,2015-06-02
1,27,28,4,29,2015-06-02
0,87,88,6,91,2015-06-03
1,25,25,5,26,2015-06-03
0,76,77,6,83,2015-06-04
1,32,31,5,32,2015-06-04
0,82,83,5,87,2015-06-15
1,65,65,4,66,2015-06-15
0,73,74,4,78,2015-06-16
1,37,37,4,38,2015-06-16
0,72,72,4,76,2015-06-17
1,44,45,5,48,2015-06-17
0,64,64,4,73,2015-06-18
1,30,31,3,32,2015-06-18
0,88,89,6,93,2015-06-22
1,58,59,5,60,2015-06-22
0,75,77,6,83,2015-06-23
0,81,81,6,88,2015-06-24
1,23,23,5,23,2015-06-24
0,70,70,4,75,2015-06-25
1,33,33,4,33,2015-06-25
0,75,75,5,79,2015-08-10
0,78,78,7,80,2015-08-11
0,87,87,5,92,2015-08-12
1,37,37,5,37,2015-08-12
0,81,82,5,91,2015-08-13
1,33,33,3,34,2015-08-13
0,87,87,6,91,2015-08-17
1,54,53,4,53,2015-08-17
0,85,84,5,94,2015-08-18
0,83,84,5,94,2015-08-19
1,20,21,5,21,2015-08-19
0,78,78,7,86,2015-08-20
1,38,38,5,38,2015-08-20
0,86,87,6,89,2015-09-07
1,51,51,5,52,2015-09-07
0,74,75,6,87,2015-09-08
0,80,80,7,88,2015-09-09
1,28,29,4,29,2015-09-09
0,80,80,7,88,2015-09-10
1,28,29,4,29,2015-09-10
0,89,89,6,94,2015-09-14
1,53,54,6,56,2015-09-14
0,75,78,6,83,2015-09-15
0,78,79,5,89,2015-09-16
1,21,21,4,21,2015-09-16
0,78,79,6,89,2015-09-17
1,35,35,5,38,2015-09-17
0,83,82,7,86,2015-10-12
1,57,57,6,57,2015-10-12
0,82,82,7,87,2015-10-13
0,80,80,6,83,2015-10-14
1,20,20,5,20,2015-10-14
0,81,82,5,85,2015-10-15
1,35,35,4,35,2015-10-15
0,87,88,7,93,2015-10-19
1,53,53,6,53,2015-10-19
0,78,80,7,80,2015-10-20
0,87,88,7,91,2015-10-21
1,21,21,4,21,2015-10-21
0,86,86,5,86,2015-10-22
1,37,37,4,38,2015-10-22
0,93,94,4,99,2015-11-09
1,60,60,5,60,2015-11-09
0,76,78,5,82,2015-11-10
0,80,82,7,91,2015-11-11
0,78,79,7,81,2015-11-12
1,45,45,5,46,2015-11-12
0,91,90,7,93,2015-11-23
1,52,52,7,53,2015-11-23
0,75,76,5,81,2015-11-24
0,82,82,7,89,2015-11-25
1,21,21,5,21,2015-11-25
0,73,73,6,80,2015-11-26
1,46,46,5,46,2015-11-26
0,84,84,7,89,2015-11-30
1,54,54,6,54,2015-11-30
0,76,77,7,87,2015-12-01
0,73,74,5,81,2015-12-02
1,20,21,4,21,2015-12-02
0,72,72,7,76,2015-12-03
1,44,44,4,44,2015-12-03
0,77,79,7,89,2016-02-02
0,80,82,7,89,2016-02-03
1,36,37,6,37,2016-02-03
0,81,84,6,90,2016-02-04
1,36,39,3,39,2016-02-04
0,89,90,6,96,2016-02-08
1,51,51,5,53,2016-02-08
0,68,68,6,78,2016-02-09
0,78,79,7,82,2016-02-10
1,26,26,4,26,2016-02-10
0,57,57,4,62,2016-02-11
1,32,32,3,33,2016-02-11
0,82,82,7,86,2016-02-22
1,61,61,7,62,2016-02-22
0,71,71,5,82,2016-02-23
0,76,77,7,84,2016-02-24
1,26,28,5,28,2016-02-24
0,73,73,6,77,2016-02-25
1,31,32,5,32,2016-02-25
0,82,81,5,84,2016-02-29
1,47,46,4,46,2016-02-29
0,74,74,5,85,2016-03-01
0,82,83,6,92,2016-03-02
1,21,21,4,21,2016-03-02
0,76,76,6,82,2016-03-03
1,35,35,5,35,2016-03-03
0,73,76,7,80,2016-03-15
0,75,75,5,80,2016-03-16
1,37,37,5,37,2016-03-16
0,70,70,6,78,2016-03-17
1,39,39,5,39,2016-03-17
0,81,83,7,92,2016-04-18
0,51,51,4,61,2016-04-19
0,78,79,6,83,2016-05-02
1,49,48,6,51,2016-05-02
0,65,66,7,71,2016-05-03
0,79,81,6,85,2016-05-04
1,31,31,4,32,2016-05-04
0,71,73,4,82,2016-05-05
1,29,30,5,30,2016-05-05
0,14,14,4,15,2016-08-30
0,66,67,5,71,2016-08-31
0,66,66,6,70,2016-09-01
0,84,85,6,86,2016-09-12
1,44,44,4,44,2016-09-12
0,62,63,7,70,2016-09-13
0,66,69,7,72,2016-09-14
1,22,22,4,22,2016-09-14
0,73,74,6,77,2016-09-15
1,30,31,5,32,2016-09-15
0,73,72,6,74,2016-10-10
1,69,70,4,70,2016-10-10
0,74,75,5,82,2016-10-11
1,24,26,4,26,2016-10-11
0,72,74,5,78,2016-10-12
1,22,24,4,25,2016-10-12
0,71,72,4,76,2016-10-13
1,24,25,4,25,2016-10-13
0,84,83,6,86,2016-10-17
1,55,56,5,56,2016-10-17
